0	i was a little sceptical buying this phone because some of the reviews said that the phone they received was locked or had slight damage however the one i received was perfect it came fully unlocked and  undamaged it looks as if i had baught it straight from apple so far an overall  stars and no complaints	0
1	this seller is amazing was a bit skeptical at first but this phone met my every expectation very trustworthy in every way no it doesn’t come with headphones at least it comes with a charger  a  day warranty i also got a brand new spanking battery i’ve checked the serial number online it is worthy	1
2	just was told by my carrier att that this phone is blacklisted the phone was blacklisted after  week of receiving the phone thanks amazon	3
3	i purchased this phone for my daughter and it came with no scratches or marks however it did not come with headphones	1
4	i don’t know why everyone’s giving this seller a bad review excellent phone and fast shipping  stars for me  i will be back to buy more soon	1
5	                    the media could not be loaded                 the phone clearly has some internal malfunction going on and this isn’t the performance i paid for definitely going to return this product for example i open an app the app automatically closes and there are things that appear on the screen every time the device is in power	0
6	received my iphone a few days ago and everything is working there’s a barely noticeable scratch on the screen but that is normal since it is refurbished i was hesitant to buy it due to the bad reviews but my phone is unlocked checked with apple and i love it my seller was  it’s a little bit more expensive but worth it	0
7	i absolutly loved this iphone xr it was wonderful	0
8	i’ll admit after reading through the reviews i was very hesitant but i am beyond happy with my purchasethe phone is flawless yes you read that right absolutely flawless it came with a glass screen protector already installed and all oem accessories phone has a brand new  capacity battery and is still under factory warranty until may  i understand some of this will vary but this is a review of my experiencei purchased another “renewed” phone pixel  from a different seller and it’s perfectly functional but no where near the condition this iphone xr arrived ini just popped my sim card in and it worked right away usually with my carrier i have to call in with the imei number but i didn’t have to i also tried a gsm sim card and it worked too fully unlocked as advertisedbest used phone purchase everso glad i did not listen to all the negative reviews	0
9	update  i still have this phone still works amazing battery lasts me all day even at  works like new  worth every penny update  my phone still works the same way it did when i got it even though i’ve dropped it and mishandled it a few times update  this phone still works perfectly i don’t carry my charger with me during the day anymore  is a perfect amount of storage this phone has frozen up less than  times since i got it screen still looks great i cracked it but it’s working and everything is still fast and accurate i’ve had no issues this is the best phone i’ve had in a while also the camera is amazing and i’ve come to fall in love with it i’ve attached a picture i took with the phone belowmy phone is amazing obviously i’d show it if i wasn’t on it right now i waited a few days before making this review so i could make sure no quirks popped upfirst of all this is the best battery life i’ve ever had on a phone ever i went out for  hours and came home and my phone was on  at the end of the day same thing with school my phone was at about  at the end of the school day now it charges pretty slowly in my opinion but the slow charging is definitely worth the batterysize wise the phone is pretty big it is a handful to hold and hard to throw in my pocket the screen size is beautiful for watching videos and doing digital stuff but the phone is just a little bigthe software works perfectly the touch is fine face id is incredibly fast and accurate and it opens apps very fast it also responds really well to my touch my last phone did notthe speaker is amazing it’s so loud that i didn’t even need my speaker in the shower the phone was loud enough by itself i took a call in a room full of noisy kids and my dad said he couldn’t even really hear them so they cancel noise microphone is good i can say “hey siri” quietly and it’ll activateoverall i’m really impressed i was very nervous looking at other reviews but my phone is working so perfectly right now i am definitely satisfied especially with paying  less than apple was chargingthen again i upgraded from a cracked  so that could be the reason i’m so over the moon haha	0
